OBJECTID,FID_study_basins,SITE_NO,SQMI,ABS_DIFF,FID_cageol_poly_dd,AREA,PERIMETER,CAGEOL_DD_,CAGEOL_DD1,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,SOURCE,UNIT_AGE,ROCKTYPE1,ROCKTYPE2,Shape_Length,Shape_Area
1,0,11046300,80.939803229999995,0.001730237995050,11254,0.344374223209000,18.111147271899998,11256,12009,grMz,grMZ2;0,CAgrMZ2;0,CA001,Middle Jurassic to Late Cretaceous,tonalite,quartz diorite,120867.218635480250000,116686438.020453620000000
2,0,11046300,80.939803229999995,0.001730237995050,11338,0.005078035527230,0.591550763295000,11340,4290,K,K1;0,CAK1;0,CA001,Early to Late Cretaceous,mudstone,sandstone,6862.682224184013600,616884.197561337960000
3,0,11046300,80.939803229999995,0.001730237995050,11348,0.000055168362199,0.038877852140100,11350,4289,Qv,Qv8;0,CAQv8;0,CA001,Quaternary,basalt, ,1768.828031766513300,142132.272406628530000
4,0,11046300,80.939803229999995,0.001730237995050,11349,0.000723548171868,0.158108384413000,11351,4295,gb,gb2;0,CAgb2;0,CA001,Triassic to Cretaceous,gabbro,diorite,16370.143020139016000,7379421.834495118800000
5,0,11046300,80.939803229999995,0.001730237995050,11350,0.002738376602980,0.450280151617000,11352,4300,J,J4;0,CAJ4;0,CA001,Paleozoic(?) to Late Jurassic,argillite,graywacke,26231.713077467306000,13861983.083552198000000
6,0,11046300,80.939803229999995,0.001730237995050,11357,0.010520689546600,0.707315293006000,11359,4316,Mzv,MZv4;0,CAMZv4;0,CA001,Late Jurassic to Early Cretaceous,felsic volcanic rock,intermediate volcanic rock,56983.189502048728000,49177588.100982048000000
7,0,11046300,80.939803229999995,0.001730237995050,11369,0.007837682798000,0.888485312566000,11371,4324,J,J4;0,CAJ4;0,CA001,Paleozoic(?) to Late Jurassic,argillite,graywacke,11956.006909946276000,3319798.428482689400000
8,0,11046300,80.939803229999995,0.001730237995050,11398,0.000537016495063,0.119499492845000,11400,4357,gb,gb2;0,CAgb2;0,CA001,Triassic to Cretaceous,gabbro,diorite,12726.560273991567000,5443859.879700316100000
9,0,11046300,80.939803229999995,0.001730237995050,11399,0.000319404274393,0.076622192275500,11401,4359,J,J4;0,CAJ4;0,CA001,Paleozoic(?) to Late Jurassic,argillite,graywacke,7742.425874281556400,3309977.605521033500000
10,0,11046300,80.939803229999995,0.001730237995050,11404,0.000375586604844,0.082478008258200,11406,4362,gb,gb2;0,CAgb2;0,CA001,Triassic to Cretaceous,gabbro,diorite,8381.025471331915500,3892480.928289548500000
11,0,11046300,80.939803229999995,0.001730237995050,11434,0.000247367792615,0.070211364731100,11436,4392,Qv,Qv8;0,CAQv8;0,CA001,Quaternary,basalt, ,6955.854600827864500,1277782.156761659300000
12,0,11046300,80.939803229999995,0.001730237995050,11438,0.000152931666440,0.066131424309600,11440,4397,Qv,Qv8;0,CAQv8;0,CA001,Quaternary,basalt, ,6455.774980389348500,1585464.987405852900000
13,0,11046300,80.939803229999995,0.001730237995050,11449,0.000323190388808,0.069031466344600,11451,4413,grMz,grMZ2;0,CAgrMZ2;0,CA001,Middle Jurassic to Late Cretaceous,tonalite,quartz diorite,7096.755207220479900,3350664.115168166800000
14,0,11046300,80.939803229999995,0.001730237995050,11495,0.000138076947973,0.054421250015600,11497,4448,J,J4;0,CAJ4;0,CA001,Paleozoic(?) to Late Jurassic,argillite,graywacke,4483.132020662206700,828128.085800954840000
15,1,11046360,31.847458499999998,0.007830965189870,11261,0.007686360546400,1.540275054870000,11263,4220,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,5727.242980696946700,707684.803205266590000
16,1,11046360,31.847458499999998,0.007830965189870,11277,0.007790085846800,0.818402693128000,11279,4226,Ku,Ku1;0,CAKu1;0,CA001,Late Cretaceous,sandstone,mudstone,32648.363568012472000,31235765.361581311000000
17,1,11046360,31.847458499999998,0.007830965189870,11338,0.005078035527230,0.591550763295000,11340,4290,K,K1;0,CAK1;0,CA001,Early to Late Cretaceous,mudstone,sandstone,24348.685954792287000,19376319.972097844000000
18,1,11046360,31.847458499999998,0.007830965189870,11357,0.010520689546600,0.707315293006000,11359,4316,Mzv,MZv4;0,CAMZv4;0,CA001,Late Jurassic to Early Cretaceous,felsic volcanic rock,intermediate volcanic rock,18392.694525865933000,9198122.517658947000000
19,1,11046360,31.847458499999998,0.007830965189870,11421,0.013039584528900,1.036130394910000,11423,4383,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,27409.231300587559000,14178680.645737521000000
20,1,11046360,31.847458499999998,0.007830965189870,11426,0.004983353397720,0.379426293818000,11428,4388,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,11813.975206540359000,3226426.936904441600000
21,1,11046360,31.847458499999998,0.007830965189870,11432,0.000438665168349,0.134971708362000,11434,4398,Ep,PN1;0,CAPN1;0,CA001,Paleocene,sandstone,mudstone,11902.826617268573000,3761575.302286327400000
22,1,11046360,31.847458499999998,0.007830965189870,11468,0.000053094090271,0.032703080807500,11470,4435,Ep,PN1;0,CAPN1;0,CA001,Paleocene,sandstone,mudstone,3405.004523224581600,550420.828676020730000
23,1,11046360,31.847458499999998,0.007830965189870,11507,0.000366663471066,0.160883132392000,11509,4462,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,5725.438827800761800,711220.660735042180000
24,2,11111500,49.685162669999997,0.003740660000000,9427,0.033380739950200,1.178337102700000,9429,11629,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,37363.036785461481000,25594893.686987076000000
25,2,11111500,49.685162669999997,0.003740660000000,9513,0.017146178236700,1.340466357980000,9515,11646,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,41785.455430885362000,35948985.604019992000000
26,2,11111500,49.685162669999997,0.003740660000000,9569,0.002189663591140,0.675503069227000,9571,11655,Oc,OGc2;0,CAOGc2;0,CA001,middle Eocene to early Miocene,sandstone,conglomerate,46140.475616882934000,15762386.918789051000000
27,2,11111500,49.685162669999997,0.003740660000000,9580,0.002281009887050,0.372732338484000,9582,11660,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,35755.944339527785000,22414864.669347920000000
28,2,11111500,49.685162669999997,0.003740660000000,9677,0.007940502710980,0.655756272059000,9679,11673,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,53986.887898653826000,29216992.980120465000000
29,3,11132500,47.055358349999999,0.000947805732484,9577,0.036861773283200,3.520232318200000,9579,11659,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,83557.104861495944000,52610241.674546689000000
30,3,11132500,47.055358349999999,0.000947805732484,9724,0.003277705303950,0.698024155429000,9726,11693,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,69577.647080074370000,32362365.527520511000000
31,3,11132500,47.055358349999999,0.000947805732484,9731,0.000344434671628,0.100031936580000,9733,11696,Kl,Kl;0,CAKl;0,CA001,Early Cretaceous,mudstone,sandstone,9635.830670661671300,3508283.041536282700000
32,3,11132500,47.055358349999999,0.000947805732484,9741,0.000717701135707,0.150524839756000,9743,11704,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,15304.450596505700000,7312106.679298287300000
33,3,11132500,47.055358349999999,0.000947805732484,9746,0.000315242005126,0.093444455393000,9748,11708,K,K1;0,CAK1;0,CA001,Early to Late Cretaceous,mudstone,sandstone,9565.639471395790700,3211536.901864666500000
34,3,11132500,47.055358349999999,0.000947805732484,9757,0.000672997940937,0.317832988538000,9759,11714,Oc,OGc2;0,CAOGc2;0,CA001,middle Eocene to early Miocene,sandstone,conglomerate,562.909625119920290,3362.089197280121000
35,3,11132500,47.055358349999999,0.000947805732484,9768,0.000733902408866,0.140581526363000,9770,11719,O,OG;0,CAOG;0,CA001,Eocene to Miocene,sandstone,mudstone,14263.676598258926000,7479315.919750653200000
36,3,11132500,47.055358349999999,0.000947805732484,9778,0.001420905670000,0.234974182000000,9780,11724,Ku,Ku1;0,CAKu1;0,CA001,Late Cretaceous,sandstone,mudstone,22284.954890335302000,9981092.038268130300000
37,3,11132500,47.055358349999999,0.000947805732484,9829,0.000380211599373,0.141956424338000,9831,11746,O,OG;0,CAOG;0,CA001,Eocene to Miocene,sandstone,mudstone,7992.013931050350000,1772260.951956376400000
38,3,11132500,47.055358349999999,0.000947805732484,9835,0.001254213812940,0.250846377786000,9837,11747,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,10691.939906629412000,3534199.329411015800000
39,3,11132500,47.055358349999999,0.000947805732484,9871,0.000483085414100,0.171969818344000,9873,11756,Ku,Ku1;0,CAKu1;0,CA001,Late Cretaceous,sandstone,mudstone,2494.216629728390700,177817.812997101720000
40,4,11134800,10.434429720000001,0.100480196552000,9334,0.026073821739400,1.749929229630000,9336,11604,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,3278.115123535350900,455075.005527737900000
41,4,11134800,10.434429720000001,0.100480196552000,9577,0.036861773283200,3.520232318200000,9579,11659,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,31935.870570063566000,24769395.160305619000000
42,4,11134800,10.434429720000001,0.100480196552000,9663,0.001843788082680,0.248061318178000,9665,11667,E,EO;0,CAEO;0,CA001,Paleocene to Oligocene,mudstone,sandstone,9743.840071956377900,1814841.183574958700000
43,5,11141280,20.852179920000001,0.002288042105260,8046,0.005256503536150,0.796998407808000,8048,11161,Ku,Ku1;0,CAKu1;0,CA001,Late Cretaceous,sandstone,mudstone,26801.549495472409000,11191277.874126138000000
44,5,11141280,20.852179920000001,0.002288042105260,8137,0.001955081598010,0.554874604897000,8139,11193,KJf,KJf1;0,CAKJf1;0,CA001,Jurassic to Cretaceous,sandstone,mudstone,3959.652056303708400,253444.110869439140000
45,5,11141280,20.852179920000001,0.002288042105260,8141,0.087477042542900,5.197576666700000,8143,11195,M,MI;0,CAMI;0,CA001,Oligocene to Pliocene,sandstone,mudstone,44576.608903027838000,42586523.767338552000000
