STAID,CLASS,AGGECOREGION,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS (WSC),WSC_CLASS (AK-HI-PR only)
15012000,Ref,Alaska,,1975 ADR,,1
15019990,Non-ref,Alaska,"Water for power generation is diverted from Tyee Lake and discharged into Bradfield Canal. Diversion to hydropower plant began February 1984, and is not included in the discharge records.",http://wdr.water.usgs.gov/wy2009/pdfs/15019990.2009.pdf,diversion,3
15022000,Ref,Alaska,,2001 ADR,,1
15026000,Non-ref,Alaska,,1972 ADR,currently being developed for hydropower,2
15048000,Ref,Alaska,,1975 ADR,,1
15050000,Non-ref,Alaska,"Water may be diverted about 0.5 mi upstream and three wells, located upstream from the gage in Last Chance Basin, pump water for municipal use and may decrease flow during winter periods.",http://wdr.water.usgs.gov/wy2006/pdfs/15050000.2006.pdf,occasional diversion not well documented,3
15051010,Non-ref,Alaska,Flow regulated by Salmon Creek Reservoir 2.5 mi upstream. Diversions upstream for off-stream hydropower plant; outflow from the plant goes into Gastineau Channel and is not included in the discharge records. Diversions upstream into Twin Lakes via a pipel,http://wdr.water.usgs.gov/wy2009/pdfs/15051010.2009.pdf,,3
15052000,Ref,Alaska,Large diurnal fluctuations caused by glacier melt at source.,http://wdr.water.usgs.gov/wy2008/pdfs/15052000.2008.pdf,,1
15055500,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15055500.2009.pdf,,1
15056210,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15056210.2009.pdf,,1
15072000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15072000.2009.pdf,,1
15081497,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15081497.2009.pdf,clearcut logging in basin,2
15085100,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15085100.2009.pdf,,1
15087080,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15087080.2009.pdf,only 6 yr record - doscontinued,2
15087690,Ref,Alaska,,http://wdr.water.usgs.gov/wy2006/pdfs/15087690.2006.pdf,,1
15088000,Non-ref,Alaska,"Minor regulation above station by Sitka Public Utilities hydroelectric plant during periods 1920-23 and 1937-42. In 1959, Blue Lake Dam, 1.6 mi upstream, was completed. The area of the lake is 1225 acres. The dam is concrete with a spillway elevation of 3",http://wdr.water.usgs.gov/wy2009/pdfs/15088000.2009.pdf,,3
15101490,Non-ref,Alaska,Greens Creek Mining Company pumps water from gage pool for use in mill. Diversion flow is recorded on totalizing meters in gage house. Pump records are available from Greens Creek Mining Company.,http://wdr.water.usgs.gov/wy2009/pdfs/15101490.2009.pdf,,2
15106920,Ref,Alaska,,http://wdr.water.usgs.gov/wy2007/pdfs/15106920.2007.pdf,,1
15106980,Ref,Alaska,,1975 ADR,,1
15108000,Ref,Alaska,,1975 ADR,,1
15109000,Ref,Alaska,,1975 ADR,,1
15129500,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15129500.2009.pdf,,1
15129600,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15129600.2009.pdf,,1
15200000,Ref,Alaska,Some diurnal fluctuation at times each year caused snow and glacier melt at the source.,1969 ADR,,1
15200280,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15200280.2009.pdf,,1
15202000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15202000.2009.pdf,glacier lake outbreaks common,1
15208000,Ref,Alaska,,1975 ADR,,1
15215990,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15215990.2009.pdf,,1
15216000,Ref,Alaska,"Streamflow augmented by glaciers, which are cover 27 percent of the basin.",1975 ADR,being considered for hydropower but nothing in the record,1
15226000,Non-ref,Alaska,"Discharge data represent the flow at mouth which includes Solomon Gulch at top of falls (station 15225997), power plant tailrace (station 15225996), and all fish hatchery diversions. Water for power generation is diverted by a dam at Solomon Lake, 0.8 mi",http://wdr.water.usgs.gov/wy2009/pdfs/15226000.2009.pdf,,3
15236900,Ref,Alaska,"Stream flow is modified by runoff from the melting of Wolverine Glacier, which covers 6.8 mi², more than 70% of the drainage basin.",http://wdr.water.usgs.gov/wy2009/pdfs/15236900.2009.pdf,almost entirely runoff from Wolverine Glacier,1
15237730,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15237730.2009.pdf,,1
15238600,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15238600.2009.pdf,,1
15238820,Ref,Alaska,,1975 ADR,,1
15239000,Non-ref,Alaska,"Reservoir is formed by an earthen dam with impermeable core and concrete face at the outlet of Bradley Lake. Construction began November 1986 and was completed in April 1991. Total and usable capacities below the spillway crest of 1,180 ft are 547,500 and",2001 ADR,"monthly discharges are computed after WY 1990, flow regulated since Oct 1986",3
15239050,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15239050.2009.pdf,,1
15239060,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15239060.2009.pdf,upper part of basin is diverted bl 15239050,1
15241600,Non-ref,Alaska,,2001 ADR,basin logged intermittently,2
15242000,Ref,Alaska,,1969 ADR,,1
15248000,Ref,Alaska,,1975 ADR,,1
15258000,Non-ref,Alaska,Diversion from Cooper Lake to Kenai Lake above gage through Cooper Lake power plant began May 1961.,http://wdr.water.usgs.gov/wy2009/pdfs/15258000.2009.pdf,"glacier outbursts every 3rd year, water diverted into basin above gage",2
15261000,Non-ref,Alaska,"Since July 1959, entire flow from 31.8 mi² of drainage area has been regulated by dam at Cooper Lake outlet. No spilling since 1959 except for period May 1961 to October 1962.",http://wdr.water.usgs.gov/wy2009/pdfs/15261000.2009.pdf,upper part of basin diverted into 15258000,2
15266110,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15266110.2009.pdf,,1
15266300,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15266300.2009.pdf,,1
15271000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15271000.2009.pdf,,1
15272380,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15272380.2009.pdf,,1
15273045,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15273045.2009.pdf,minor urbanization,2
15274000,Ref,Alaska,,2001 ADR,,1
15276000,Non-ref,Alaska,"Discharge data represent the net flow remaining after diversion for water supply to Fort Richardson, Elmendorf Air Force Base, and Municipality of Anchorage. Average diversion for water year 2009 was 4.99 ft³/s. Diversion began in 1944. Magnitude of disch",http://wdr.water.usgs.gov/wy2009/pdfs/15276000.2009.pdf,"minor diversions accounted in ADR, but not NWISWeb",3
15282000,Ref,Alaska,Large diurnal fluctuations at times each year caused by snow melt.,1975 ADR,,1
15283700,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15283700.2009.pdf,,1
15284000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15284000.2009.pdf,,1
15290000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15290000.2009.pdf,,1
15291000,Ref,Alaska,,1975 ADR,,1
15291200,Ref,Alaska,"Stream flow augmented by Maclaren Glacier, which covers 19 percent of the basin.",1975 ADR,,1
15292000,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15292000.2009.pdf,,1
15292700,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15292700.2009.pdf,,1
15294005,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15294005.2009.pdf,,1
15294300,Ref,Alaska,Summer flows augmented by glaciers that cover 16 percent of basin.,1975 ADR,,1
15296000,Ref,Alaska,,1975 ADR,,1
15297200,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15297200.2009.pdf,,1
15297610,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15297610.2009.pdf,,1
15300250,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15300250.2009.pdf,,1
15300300,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15300300.2009.pdf,,1
15302000,Ref,Alaska,"Discharge affected by storage in Tikchik Lake, Nuyakuk Lake, Lake Chauekuktuli, and other smaller lakes covering over 170 mi² of the basin.",http://wdr.water.usgs.gov/wy2009/pdfs/15302000.2009.pdf,,1
15302200,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15302200.2009.pdf,,1
15302250,Ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15302250.2009.pdf,,1
15477740,Non-ref,Alaska,,http://wdr.water.usgs.gov/wy2009/pdfs/15477740.2009.pdf,mine development in basin and minor impoundments,2
15478040,Ref,Alaska,"Streamflow augmented by Gulkana Glacier and other glaciers that cover 7.5 mi² and 1.1 mi², respectively, of the drainage basin.",http://wdr.water.usgs.gov/wy2009/pdfs/15478040.2009.pdf,most of basin occupied by Gulkana Glacier,1
