STAID,BAS_COMPACTNESS,LAT_CENT,LONG_CENT
15012000,1.97,55.405633,-130.806251
15019990,2.46,56.169567,-131.453346
15022000,1.00,56.348404,-131.656739
15026000,1.63,57.025994,-132.682869
15048000,2.06,58.274336,-134.283225
15050000,2.32,58.310479,-134.343966
15051010,3.11,58.339131,-134.400472
15052000,2.76,58.394203,-134.368461
15055500,1.63,58.851099,-134.632221
15056210,1.85,59.630274,-135.412874
15072000,1.27,55.496792,-131.174613
15081497,2.25,55.741387,-133.048649
15085100,1.81,55.372585,-132.427293
15087080,3.34,56.271704,-132.160937
15087690,3.37,57.085375,-135.266322
15088000,1.66,57.081035,-135.111971
15101490,2.41,58.082418,-134.587955
15106920,3.51,57.634662,-135.162600
15106980,1.40,57.625567,-135.237448
15108000,2.11,57.840989,-135.134380
15109000,2.14,58.292408,-134.553081
15129500,2.32,59.633935,-139.426145
15129600,1.79,59.541823,-139.704880
15200000,1.11,62.854248,-145.220644
15200280,0.89,62.700476,-146.022877
15202000,0.61,61.934855,-146.532255
15208000,1.51,61.457170,-145.475333
15215990,2.83,60.514889,-145.780783
15216000,1.32,60.638442,-145.518771
15226000,2.46,61.018377,-146.276783
15236900,2.37,60.403536,-148.915294
15237730,2.38,60.235315,-149.369869
15238600,2.98,60.064929,-149.512415
15238820,2.45,59.418545,-151.571691
15239000,1.43,59.718661,-150.683785
15239050,2.36,59.779398,-150.699624
15239060,1.96,59.790317,-150.760188
15241600,1.48,60.092139,-151.352543
15242000,1.10,60.110181,-150.654953
15248000,1.92,60.524548,-149.188227
15258000,1.80,60.436472,-149.316536
15261000,1.36,60.397906,-149.793428
15266110,1.00,60.394553,-149.673871
15266300,1.18,60.410079,-150.004637
15271000,2.60,60.698805,-149.348688
15272380,1.96,60.946993,-148.788414
15273045,1.26,61.073614,-149.688567
15274000,1.35,61.106420,-149.622221
15276000,1.48,61.145104,-149.446687
15282000,1.18,61.958196,-147.681962
15283700,1.96,61.791744,-149.012099
15284000,1.60,61.807610,-148.064377
15290000,2.56,61.796544,-149.176838
15291000,1.24,63.375519,-147.214462
15291200,1.25,63.253575,-146.578923
15292000,1.12,62.840279,-147.618747
15292700,2.12,62.394132,-149.061960
15294005,1.84,61.811284,-149.521631
15294300,0.69,61.798272,-152.265333
15296000,1.23,57.579644,-153.251395
15297200,1.69,57.569598,-152.396232
15297610,1.93,55.118350,-162.749400
15300250,1.43,59.873916,-155.170535
15300300,1.37,59.839606,-153.639698
15302000,1.08,60.128764,-158.854646
15302200,2.23,59.828840,-155.385005
15302250,1.62,59.919773,-155.468422
15477740,1.63,64.457600,-144.233980
15478040,2.06,63.274517,-145.426695
15484000,0.89,64.708683,-145.261704
15493000,0.87,65.017314,-145.836063
15511000,1.56,65.051800,-146.924777
15515060,1.28,63.970978,-148.716369
15515080,1.52,63.994183,-148.799732
15516000,0.93,63.350232,-148.128703
15518000,0.98,63.467742,-148.385687
15564879,1.57,67.252325,-149.943064
15564900,1.10,67.052640,-151.914447
15743850,1.96,66.988044,-156.873882
15747000,1.12,68.092855,-163.190655
15803000,0.98,69.744714,-157.760246
15820000,1.03,69.371730,-154.911997
15860000,0.80,70.046446,-153.272948
15861000,0.96,69.927952,-152.535026
15896000,0.97,69.412747,-149.607798
15904800,1.63,68.165228,-149.459585
15908000,0.77,68.503635,-148.633644
16010000,1.93,22.142072,-159.600152
16013000,2.10,22.118827,-159.582989
16019000,2.24,22.081192,-159.550562
16031000,2.26,22.081771,-159.619477
16036000,1.77,22.035741,-159.574649
16049000,2.93,22.000257,-159.532588
16060000,2.29,22.029733,-159.453979
16063000,2.32,22.071380,-159.466694
16068000,2.82,22.091528,-159.430672
16071000,1.47,22.074371,-159.435449
16071500,2.93,22.085440,-159.402217
16080000,2.57,22.105276,-159.399136
16089000,1.86,22.147261,-159.381226
16097500,2.42,22.161851,-159.415158
16103000,2.43,22.125722,-159.471708
16108000,2.42,22.104039,-159.529199
16200000,2.03,21.513527,-157.926332
16208000,1.17,21.499558,-157.944675
16211000,1.16,21.526856,-157.951943
16211600,2.24,21.508948,-158.169745
16212601,1.73,21.477168,-158.082924
16212800,1.94,21.478492,-157.921392
16213000,1.38,21.461393,-158.017106
16216000,2.21,21.440805,-157.939941
16224500,0.77,21.406241,-157.890964
16226000,2.29,21.405661,-157.862750
16226200,1.82,21.403097,-157.867566
16226400,1.50,21.400192,-157.872838
16228000,2.80,21.388425,-157.846967
16229000,3.61,21.370803,-157.827672
