STAID,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,BOUND_SOURCE,HCDN-2009,HBN36,OLD_HCDN,NSIP_SENTINEL
15012000,WINSTANLEY C NR KETCHIKAN AK,40.0,19,55.416051,-130.869197,AK,1,,,,
15019990,TYEE LK OUTLET NR WRANGELL AK,37.5,19,56.199642,-131.508362,AK,2,,,,
15022000,HARDING R NR WRANGELL AK,172.8,19,56.212978,-131.638358,AK,1,,,yes,
15026000,CASCADE C NR PETERSBURG AK,59.6,19,57.005496,-132.780883,AK,1,,,,
15048000,SHEEP C NR JUNEAU AK,11.0,19,58.274673,-134.315655,AK,1,,,,
15050000,GOLD C AT JUNEAU AK,24.7,19,58.306617,-134.403159,AK,1,,,,
15051010,SALMON C NR JUNEAU AK,25.1,19,58.332174,-134.467607,AK,2,,,,
15052000,LEMON C NR JUNEAU AK,32.0,19,58.391343,-134.422606,AK,2,,,,
15055500,ANTLER R BL ANTLER LK NR AUKE BAY AK,67.8,19,58.851624,-134.710401,AK,2,,,,
15056210,TAIYA R NR SKAGWAY AK,472.3,19,59.511618,-135.346275,AK,2,,,,
15072000,FISH C NR KETCHIKAN AK,91.2,19,55.391604,-131.195583,AK,2,yes,,yes,
15081497,STANEY C NR KLAWOCK AK,132.5,19,55.801029,-133.110322,AK,2,,,,
15085100,OLD TOM C NR KASAAN AK,15.3,19,55.395194,-132.408627,AK,1,yes,,,
15087080,UPPER EARL WEST C NR WRANGELL AK,8.4,19,56.285487,-132.132518,AK,2,,,,
15087690,INDIAN R NR SITKA AK,27.5,19,57.066582,-135.296763,AK,2,,,,
15088000,SAWMILL C NR SITKA AK,100.0,19,57.051027,-135.229540,AK,1,,,,
15101490,GREENS C AT GREENS CREEK MINE NR JUNEAU AK,22.3,19,58.082998,-134.633445,AK,2,,,,
15106920,KADASHAN R AB HOOK C NR TENAKEE AK,26.7,19,57.662435,-135.186782,AK,2,,,,
15106980,TONALITE C NR TENAKEE AK,37.8,19,57.677990,-135.223170,AK,1,,,yes,
15108000,PAVLOF R NR TENAKEE AK,60.8,19,57.841328,-135.037614,AK,1,,,,
15109000,FISH C NR AUKE BAY AK,33.6,19,58.330227,-134.590670,AK,1,,,,
15129500,SITUK R NR YAKUTAT AK,93.1,19,59.586366,-139.494188,AK,2,yes,,,yes
15129600,OPHIR C NR YAKUTAT AK,6.1,19,59.523587,-139.745273,AK,2,,,,
15200000,GAKONA R AT GAKONA AK,1616.4,19,62.301213,-145.307711,AK,2,,,,
15200280,GULKANA R AT SOURDOUGH AK,4314.5,19,62.520392,-145.533015,AK,1,,,,
15202000,TAZLINA R NR GLENNALLEN AK,6840.0,19,62.055085,-145.428261,AK,1,,,,
15208000,TONSINA R AT TONSINA AK,1094.0,19,61.660904,-145.186003,AK,2,,,yes,
15215990,NICOLET C NR CORDOVA AK,1.9,19,60.518625,-145.791717,AK,2,,,,
15216000,POWER C NR CORDOVA AK,53.8,19,60.586675,-145.620022,AK,1,,,yes,
15226000,SOLOMON GULCH NR VALDEZ AK,50.0,19,61.083365,-146.305627,AK,2,,,,
15236900,WOLVERINE C NR LAWING AK,25.1,19,60.369959,-148.898762,AK,2,,,,
15237730,GROUSE C AT GROUSE LK OUTLET NR SEWARD AK,15.6,19,60.197774,-149.375484,AK,2,,,,
15238600,SPRUCE C NR SEWARD AK,23.8,19,60.068881,-149.454364,AK,2,,,,
15238820,BARABARA C NR SELDOVIA AK,53.2,19,59.479940,-151.647111,AK,2,,,,
15239000,BRADLEY R NR HOMER AK,139.9,19,59.757741,-150.852678,AK,2,,,,
15239050,MF BRADLEY R NR HOMER AK,23.7,19,59.777746,-150.756295,AK,1,yes,,,
15239060,MF BRADLEY R BL NF BRADLEY R NR HOMER AK,66.9,19,59.797741,-150.865463,AK,1,,,,
15241600,NINILCHIK R AT NINILCHIK AK,338.6,19,60.048417,-151.664917,AK,2,,,,
15242000,KASILOF R NR KASILOF AK,1846.5,19,60.317477,-151.261938,AK,1,,,,
15248000,TRAIL R NR LAWING AK,475.7,19,60.433036,-149.374078,AK,2,,,,
15258000,KENAI R AT COOPER LANDING AK,1669.7,19,60.492193,-149.809920,AK,2,,,yes,
15261000,COOPER C AT MOUTH NR COOPER LANDING AK,118.2,19,60.479980,-149.882711,AK,1,,,,
15266110,KENAI R BL SKILAK LK OUTLET NR STERLING AK,3255.3,19,60.466099,-150.601090,AK,2,,,,
15266300,KENAI R AT SOLDOTNA AK,5192.1,19,60.476929,-151.081668,AK,2,yes,,yes,
15271000,SIXMILE C NR HOPE AK,604.8,19,60.820273,-149.427443,AK,2,,,,
15272380,TWENTYMILE R BL GLACIER R NR PORTAGE AK,363.3,19,60.897483,-148.924107,AK,2,,,,
15273045,RABBIT C AT OLD SEWARD HWY NR ANCHORAGE AK,34.6,19,61.083612,-149.825803,AK,2,,,,
15274000,SF CAMPBELL C NR ANCHORAGE AK,70.7,19,61.166671,-149.772753,AK,1,,,,
15276000,SHIP C NR ANCHORAGE AK,234.0,19,61.225006,-149.637201,AK,2,,,,
15282000,CARIBOU C NR SUTTON AK,750.2,19,61.802824,-147.684707,AK,1,,,,
15283700,MOOSE C NR PALMER AK,128.6,19,61.682802,-149.045541,AK,2,,,,
15284000,MATANUSKA R AT PALMER AK,5345.4,19,61.608631,-149.073043,AK,2,,,,
15290000,L SUSITNA R NR PALMER AK,162.2,19,61.709743,-149.231938,AK,2,yes,,yes,
15291000,SUSITNA R NR DENALI AK,2386.5,19,63.103438,-147.518090,AK,1,,,,
15291200,MACLAREN R NR PAXSON AK,722.5,19,63.119010,-146.531421,AK,1,,,,
15292000,SUSITNA R AT GOLD CREEK AK,15838.5,19,62.767290,-149.693379,AK,2,,,yes,
15292700,TALKEETNA R NR TALKEETNA AK,5219.0,19,62.346439,-150.019201,AK,2,yes,yes,yes,
15294005,WILLOW C NR WILLOW AK,430.0,19,61.780303,-149.886679,AK,2,,,,
15294300,SKWENTNA R NR SKWENTNA AK,5810.7,19,61.872509,-151.369136,AK,1,,,yes,
15296000,UGANIK R NR KODIAK AK,323.8,19,57.684263,-153.421728,AK,1,,,yes,yes
15297200,MYRTLE C NR KODIAK AK,12.6,19,57.602565,-152.405523,AK,1,,,,
15297610,RUSSELL C NR COLD BAY AK,77.8,19,55.176906,-162.689511,AK,1,,,,
15300250,UPPER TALARIK C NR ILIAMNA AK,224.3,19,59.785976,-155.255241,AK,2,,,,
15300300,ILIAMNA R NR PEDRO BAY AK,330.4,19,59.757950,-153.846887,AK,1,,,,
15302000,NUYAKUK R NR DILLINGHAM AK,3951.4,19,59.934830,-158.190006,AK,1,,,yes,yes
15302200,KOKTULI R NR ILIAMNA AK,179.1,19,59.792638,-155.524690,AK,2,,,,
15302250,NF KOKTULI R NR ILIAMNA AK,273.7,19,59.842468,-155.718556,AK,2,,,,
15477740,GOODPASTER R NR BIG DELTA AK,1752.6,19,64.450174,-144.944572,AK,2,,,,
15478040,PHELAN C NR PAXSON AK,29.9,19,63.240422,-145.469735,AK,1,yes,,,yes
15484000,SALCHA R NR SALCHAKET AK,5737.3,19,64.472359,-146.926265,AK,1,yes,,yes,
15493000,CHENA R NR TWO RIVERS AK,2419.0,19,64.902374,-146.359366,AK,1,yes,,,
15511000,L CHENA R NR FAIRBANKS AK,886.7,19,64.885690,-147.249648,AK,1,yes,,,
15515060,MARGUERITE C AB EMMA C NR HEALY AK,40.2,19,64.008434,-148.728167,AK,1,,,,
15515080,EMMA C NR HEALY AK,16.9,19,64.011211,-148.727612,AK,1,,,,
15516000,NENANA R NR WINDY AK,1875.4,19,63.457319,-148.805340,AK,1,,,,
15518000,NENANA R NR HEALY AK,4904.2,19,63.844820,-148.945927,AK,1,,,,
15564879,SLATE C AT COLDFOOT AK,230.2,19,67.254290,-150.176061,AK,1,,,,
15564900,KOYUKUK R AT HUGHES AK,47642.6,19,66.046955,-154.260968,AK,2,,,yes,
15743850,DAHL C NR KOBUK AK,28.6,19,66.945560,-156.911619,AK,1,,,,yes
15747000,WULIK R BL TUTAK C NR KIVALINA AK,1847.9,19,67.875441,-163.677373,AK,1,,,,
15803000,MEADE R AT ATKASUK AK,4630.5,19,70.488431,-157.414458,AK,2,,,,
15820000,IKPIKPUK R BL FRY C NR ALAKTAK AK,4394.7,19,69.766390,-154.664406,AK,2,,,,
15860000,FISH C NR NUIQSUT AK,2041.4,19,70.270199,-151.872308,AK,2,,,,
15861000,JUDY C NR NUIQSUT AK,1656.0,19,70.220199,-151.837848,AK,2,,,,
15896000,KUPARUK R NR DEADHORSE AK,8654.5,19,70.281385,-148.962786,AK,1,yes,,yes,
15904800,ATIGUN R NR PUMP STATION 4 AK,105.3,19,68.214613,-149.406411,AK,1,,,,
15908000,SAGAVANIRKTOK R NR PUMP STA 3 AK,4821.9,19,69.014648,-148.820034,AK,1,yes,,,yes
16010000,"Kawaikoi Stream nr Waimea, Kauai, HI",9.90,20,22.132675,-159.619980,HI,2,yes,,yes,yes
16013000,"MOHIHI STREAM AT ALT 3420 FT NR WAIMEA,KAUAI,HI",4.54,20,22.117122,-159.601091,HI,2,,,,
16019000,"Waialae Str at alt 3,820 ft nr Waimea, Kauai, HI",5.42,20,22.085737,-159.568869,HI,2,yes,,yes,
16031000,"WAIMEA RIVER NR WAIMEA, KAUAI, HI",149.34,20,21.980755,-159.660267,HI,2,,,,
16036000,"Makaweli River nr Waimea, Kauai, HI",67.80,20,21.972145,-159.645822,HI,2,,,,
16049000,"Hanapepe Riv blw Manuahi Str nr Eleele, Kauai, HI",47.83,20,21.954920,-159.550815,HI,2,,,,
16060000,"SF Wailua River nr Lihue, Kauai, HI",61.52,20,22.036834,-159.379981,HI,2,,,,
16063000,"NF WAILUA RIVER AT ALT 650 FT NR LIHUE,KAUAI,HI",13.85,20,22.064052,-159.436368,HI,2,,,,
16068000,"EB of NF Wailua River nr Lihue, Kauai, HI",16.18,20,22.068767,-159.415258,HI,2,yes,,yes,
16071000,"NF Wailua River nr Kapaa, Kauai, HI",43.27,20,22.049045,-159.369981,HI,2,,,,
16071500,"Left Branch Opaekaa Str nr Kapaa, Kauai, HI",1.94,20,22.075700,-159.395813,HI,2,yes,,yes,
16080000,"KAPAA STR AT KAPAHI DITCH INTK NR KAPAA,KAUAI,HI",9.78,20,22.100943,-159.371925,HI,2,,,,
16089000,"ANAHOLA STREAM NR KEALIA, KAUAI, HI",14.13,20,22.148099,-159.351925,HI,2,,,,
16097500,"Halaulani Str at alt 400 ft nr Kilauea, Kauai, HI",3.12,20,22.178382,-159.418590,HI,2,yes,,yes,
16103000,"Hanalei River nr Hanalei, Kauai, HI",47.96,20,22.180349,-159.466090,HI,2,,,,yes
16108000,"Wainiha River nr Hanalei, Kauai, HI",27.07,20,22.135708,-159.557757,HI,2,yes,,yes,
16200000,"NF Kaukonahua Str abv RB, nr Wahiawa, Oahu, HI",3.56,20,21.516278,-157.945306,HI,2,yes,,yes,yes
16208000,"SF Kaukonahua Str at E pump, nr Wahiawa, Oahu, HI",10.62,20,21.488806,-157.996056,HI,2,,,,
16211000,"POAMOHO STREAM NEAR WAHIAWA, OAHU, HI",4.71,20,21.520161,-157.979196,HI,2,,,,
16211600,"Makaha Str nr Makaha, Oahu, HI",5.91,20,21.501583,-158.180167,HI,2,,,yes,
16212601,"Waikele Str at Wheeler Field, Oahu, HI",17.42,20,21.472306,-158.044472,HI,2,,,,
16212800,"Kipapa Str nr Wahiawa, Oahu, HI",11.10,20,21.467108,-157.958364,HI,2,,,yes,
16213000,"Waikele Str at Waipahu, Oahu, HI",116.97,20,21.383472,-158.010917,HI,2,,,,
16216000,"Waiawa Str nr Pearl City, Oahu, HI",65.26,20,21.395694,-157.978306,HI,2,,,,
16224500,"Kalauao Str at Moanalua Rd, at Aiea, Oahu, HI",6.69,20,21.382111,-157.937028,HI,2,,,,
