STAID,BASIN_BOUNDARY_CONFIDENCE,DRAIN_SQKM,NWIS_DRAIN_SQKM,PCT_DIFF_NWIS,HUC10_CHECK
15012000,10,40.0,40.1,0.4,good
15019990,10,37.5,38.1,1.6,good
15022000,8,172.8,174.6,1.0,reasonable
15026000,9,59.6,59.6,-0.1,ncb
15048000,8,11.0,11.8,6.9,good
15050000,9,24.7,25.3,2.5,good
15051010,10,25.1,25.1,-0.1,good
15052000,10,32.0,31.9,-0.4,good
15055500,10,67.8,67.3,-0.7,good
15056210,9,472.3,463.6,-1.9,reasonable
15072000,7,91.2,83.1,-9.7,reasonable
15081497,9,132.5,131.1,-1.1,reasonable
15085100,9,15.3,15.3,0.0,ncb
15087080,10,8.4,8.4,0.1,good
15087690,8,27.5,26.2,-5.1,good
15088000,10,100.0,101.0,1.0,good
15101490,9,22.3,22.3,0.2,reasonable
15106920,10,26.7,26.4,-0.9,good
15106980,9,37.8,37.6,-0.6,reasonable
15108000,9,60.8,62.9,3.3,good
15109000,7,33.6,35.2,4.6,reasonable
15129500,8,93.1,93.2,0.1,reasonable
15129600,6,6.1,6.5,5.1,poor
15200000,9,1616.4,1605.8,-0.7,reasonable
15200280,7,4314.5,4584.3,5.9,reasonable
15202000,9,6840.0,6915.3,1.1,reasonable
15208000,8,1094.0,1087.8,-0.6,reasonable
15215990,9,1.9,1.9,1.7,ncb
15216000,10,53.8,53.1,-1.4,good
15226000,10,50.0,51.0,2.0,good
15236900,10,25.1,24.6,-1.9,good
15237730,8,15.6,16.1,3.4,reasonable
15238600,9,23.8,24.0,0.7,reasonable
15238820,10,53.2,53.6,0.7,good
15239000,6,139.9,145.3,3.7,poor
15239050,10,23.7,24.0,1.1,good
15239060,9,66.9,64.2,-4.2,good
15241600,7,338.6,349.7,3.2,reasonable
15242000,8,1846.5,1911.4,3.4,reasonable
15248000,9,475.7,468.8,-1.5,reasonable
15258000,8,1669.7,1642.1,-1.7,reasonable
15261000,7,118.2,125.9,6.1,reasonable
15266110,8,3255.3,3123.5,-4.2,reasonable
15266300,8,5192.1,5053.1,-2.8,reasonable
15271000,10,604.8,606.1,0.2,good
15272380,8,363.3,365.2,0.5,reasonable
15273045,10,34.6,34.4,-0.3,good
15274000,8,70.7,75.6,6.4,good
15276000,10,234.0,231.8,-0.9,good
15282000,9,750.2,748.5,-0.2,reasonable
15283700,7,128.6,122.5,-5.0,reasonable
15284000,9,5345.4,5361.3,0.3,reasonable
15290000,10,162.2,160.3,-1.2,good
15291000,7,2386.5,2460.5,3.0,reasonable
15291200,9,722.5,725.2,0.4,reasonable
15292000,9,15838.5,15954.4,0.7,reasonable
15292700,9,5219.0,5169.6,-1.0,reasonable
15294005,10,430.0,429.9,0.0,good
15294300,9,5810.7,5827.5,0.3,reasonable
15296000,9,323.8,318.6,-1.6,reasonable
15297200,9,12.6,12.3,-2.4,good
15297610,9,77.8,80.0,2.7,good
15300250,10,224.3,224.3,0.0,good
15300300,10,330.4,331.5,0.4,good
15302000,8,3951.4,3859.1,-2.4,reasonable
15302200,10,179.1,179.0,-0.1,good
15302250,10,273.7,273.6,0.0,good
15477740,10,1752.6,1753.4,0.0,good
15478040,8,29.9,31.6,5.3,good
15484000,8,5737.3,5620.3,-2.1,good
15493000,10,2419.0,2426.8,0.3,good
15511000,8,886.7,963.5,8.0,good
15515060,9,40.2,39.4,-2.2,good
15515080,7,16.9,15.0,-12.7,good
15516000,9,1875.4,1838.9,-2.0,reasonable
15518000,9,4904.2,4946.9,0.9,reasonable
15564879,5,230.2,190.1,-21.1,reasonable
15564900,10,47642.6,47656.0,0.0,good
15743850,10,28.6,28.5,-0.3,good
15747000,9,1847.9,1826.0,-1.2,reasonable
15803000,9,4630.5,4618.0,-0.3,reasonable
15820000,10,4394.7,4395.2,0.0,good
15860000,9,2041.4,2038.3,-0.2,reasonable
15861000,9,1656.0,1655.0,-0.1,reasonable
15896000,7,8654.5,8106.7,-6.8,reasonable
15904800,7,105.3,126.1,16.5,good
15908000,9,4821.9,4817.4,-0.1,reasonable
16010000,9,9.9,9.9,-0.1,reasonable
16013000,10,4.5,4.5,-0.1,good
16019000,10,5.4,5.4,-0.1,good
16031000,10,149.3,149.3,-0.1,good
16036000,10,67.8,67.8,-0.1,good
16049000,10,47.8,47.8,0.0,good
16060000,10,61.5,61.5,-0.1,good
16063000,10,13.8,13.8,-0.1,good
16068000,10,16.2,16.2,0.4,good
16071000,10,43.3,43.3,0.0,good
16071500,9,1.9,1.9,0.0,ncb
16080000,10,9.8,9.8,0.1,good
16089000,10,14.1,14.1,-0.1,good
16097500,10,3.1,3.1,-0.3,good
16103000,9,48.0,47.9,-0.1,good
16108000,10,27.1,27.1,0.0,good
16200000,10,3.6,3.6,0.3,good
16208000,10,10.6,10.6,-0.1,good
16211000,10,4.7,4.6,-1.6,good
16211600,10,5.9,5.9,-0.1,good
16212601,9,17.4,17.4,-0.1,reasonable
16212800,10,11.1,11.1,-0.1,good
16213000,10,117.0,116.9,0.0,good
16216000,10,65.3,65.2,0.0,good
16224500,10,6.7,6.7,-0.1,good
16226000,10,8.9,8.9,0.0,good
16226200,10,10.4,10.4,0.0,good
16226400,10,12.0,12.1,1.2,good
16228000,9,7.0,7.0,0.0,reasonable
16229000,10,6.6,6.6,-0.1,good
16229300,10,13.5,13.5,-0.1,good
16232000,10,8.7,8.7,0.0,good
16238500,10,2.9,2.9,-0.1,good
16240500,10,2.7,2.7,0.4,good
16242500,7,13.1,15.5,15.5,good
16244000,10,3.0,3.0,0.2,good
16246000,10,2.7,2.7,0.1,good
16247000,9,9.6,9.4,-2.6,good
16254000,10,5.3,5.3,-0.2,good
16272200,10,9.9,9.9,-0.4,good
16275000,9,2.6,2.6,0.3,reasonable
16283200,10,2.1,2.1,0.5,good
16284000,10,2.5,2.5,0.2,good
16284200,10,2.5,2.5,0.1,good
