STAID,NDAMS_2009,DDENS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,MAJ_DDENS_2009
15012000,0.00,0.00,0.0,0.0,0.00,0.00
15019990,0.00,0.00,0.0,0.0,0.00,0.00
15022000,0.00,0.00,0.0,0.0,0.00,0.00
15026000,0.00,0.00,0.0,0.0,0.00,0.00
15048000,0.00,0.00,0.0,0.0,0.00,0.00
15050000,0.00,0.00,0.0,0.0,0.00,0.00
15051010,1.00,3.98,883.8,589.2,1.00,3.98
15052000,0.00,0.00,0.0,0.0,0.00,0.00
15055500,0.00,0.00,0.0,0.0,0.00,0.00
15056210,0.00,0.00,0.0,0.0,0.00,0.00
15072000,0.00,0.00,0.0,0.0,0.00,0.00
15081497,0.00,0.00,0.0,0.0,0.00,0.00
15085100,0.00,0.00,0.0,0.0,0.00,0.00
15087080,0.00,0.00,0.0,0.0,0.00,0.00
15087690,0.00,0.00,0.0,0.0,0.00,0.00
15088000,1.00,1.00,1790.7,1790.7,1.00,1.00
15101490,0.00,0.00,0.0,0.0,0.00,0.00
15106920,0.00,0.00,0.0,0.0,0.00,0.00
15106980,0.00,0.00,0.0,0.0,0.00,0.00
15108000,0.00,0.00,0.0,0.0,0.00,0.00
15109000,0.00,0.00,0.0,0.0,0.00,0.00
15129500,0.00,0.00,0.0,0.0,0.00,0.00
15129600,0.00,0.00,0.0,0.0,0.00,0.00
15200000,0.00,0.00,0.0,0.0,0.00,0.00
15200280,0.00,0.00,0.0,0.0,0.00,0.00
15202000,0.00,0.00,0.0,0.0,0.00,0.00
15208000,0.00,0.00,0.0,0.0,0.00,0.00
15215990,0.00,0.00,0.0,0.0,0.00,0.00
15216000,0.00,0.00,0.0,0.0,0.00,0.00
15226000,1.00,2.00,776.5,776.5,1.00,2.00
15236900,0.00,0.00,0.0,0.0,0.00,0.00
15237730,0.00,0.00,0.0,0.0,0.00,0.00
15238600,0.00,0.00,0.0,0.0,0.00,0.00
15238820,0.00,0.00,0.0,0.0,0.00,0.00
15239000,0.00,0.00,0.0,0.0,0.00,0.00
15239050,0.00,0.00,0.0,0.0,0.00,0.00
15239060,0.00,0.00,0.0,0.0,0.00,0.00
15241600,0.00,0.00,0.0,0.0,0.00,0.00
15242000,0.00,0.00,0.0,0.0,0.00,0.00
15248000,1.00,0.21,0.0,0.0,0.00,0.00
15258000,1.00,0.06,0.0,0.0,0.00,0.00
15261000,0.00,0.00,0.0,0.0,0.00,0.00
15266110,2.00,0.06,48.3,42.4,1.00,0.03
15266300,2.00,0.04,30.3,26.6,1.00,0.02
15271000,0.00,0.00,0.0,0.0,0.00,0.00
15272380,0.00,0.00,0.0,0.0,0.00,0.00
15273045,0.00,0.00,0.0,0.0,0.00,0.00
15274000,0.00,0.00,0.0,0.0,0.00,0.00
15276000,0.00,0.00,0.0,0.0,0.00,0.00
15282000,0.00,0.00,0.0,0.0,0.00,0.00
15283700,0.00,0.00,0.0,0.0,0.00,0.00
15284000,0.00,0.00,0.0,0.0,0.00,0.00
15290000,0.00,0.00,0.0,0.0,0.00,0.00
15291000,0.00,0.00,0.0,0.0,0.00,0.00
15291200,0.00,0.00,0.0,0.0,0.00,0.00
15292000,0.00,0.00,0.0,0.0,0.00,0.00
15292700,0.00,0.00,0.0,0.0,0.00,0.00
15294005,0.00,0.00,0.0,0.0,0.00,0.00
15294300,0.00,0.00,0.0,0.0,0.00,0.00
15296000,0.00,0.00,0.0,0.0,0.00,0.00
15297200,0.00,0.00,0.0,0.0,0.00,0.00
15297610,0.00,0.00,0.0,0.0,0.00,0.00
15300250,0.00,0.00,0.0,0.0,0.00,0.00
15300300,0.00,0.00,0.0,0.0,0.00,0.00
15302000,0.00,0.00,0.0,0.0,0.00,0.00
15302200,0.00,0.00,0.0,0.0,0.00,0.00
15302250,0.00,0.00,0.0,0.0,0.00,0.00
15477740,1.00,0.06,0.1,0.1,1.00,0.06
15478040,0.00,0.00,0.0,0.0,0.00,0.00
15484000,0.00,0.00,0.0,0.0,0.00,0.00
15493000,0.00,0.00,0.0,0.0,0.00,0.00
15511000,2.00,0.23,132.3,126.5,2.00,0.23
15515060,0.00,0.00,0.0,0.0,0.00,0.00
15515080,0.00,0.00,0.0,0.0,0.00,0.00
15516000,0.00,0.00,0.0,0.0,0.00,0.00
15518000,0.00,0.00,0.0,0.0,0.00,0.00
15564879,0.00,0.00,0.0,0.0,0.00,0.00
15564900,0.00,0.00,0.0,0.0,0.00,0.00
15743850,0.00,0.00,0.0,0.0,0.00,0.00
15747000,4.00,0.22,31.4,13.4,3.00,0.16
15803000,0.00,0.00,0.0,0.0,0.00,0.00
15820000,0.00,0.00,0.0,0.0,0.00,0.00
15860000,0.00,0.00,0.0,0.0,0.00,0.00
15861000,0.00,0.00,0.0,0.0,0.00,0.00
15896000,0.00,0.00,0.0,0.0,0.00,0.00
15904800,0.00,0.00,0.0,0.0,0.00,0.00
15908000,0.00,0.00,0.0,0.0,0.00,0.00
16010000,0.00,0.00,0.0,0.0,0.00,0.00
16013000,0.00,0.00,0.0,0.0,0.00,0.00
16019000,0.00,0.00,0.0,0.0,0.00,0.00
16031000,0.00,0.00,0.0,0.0,0.00,0.00
16036000,1.00,1.47,1.5,1.3,0.00,0.00
16049000,0.00,0.00,0.0,0.0,0.00,0.00
16060000,1.00,1.63,4.2,3.3,0.00,0.00
16063000,0.00,0.00,0.0,0.0,0.00,0.00
16068000,0.00,0.00,0.0,0.0,0.00,0.00
16071000,1.00,2.31,25.6,21.1,0.00,0.00
16071500,0.00,0.00,0.0,0.0,0.00,0.00
16080000,0.00,0.00,0.0,0.0,0.00,0.00
16089000,0.00,0.00,0.0,0.0,0.00,0.00
16097500,0.00,0.00,0.0,0.0,0.00,0.00
16103000,0.00,0.00,0.0,0.0,0.00,0.00
16108000,0.00,0.00,0.0,0.0,0.00,0.00
16200000,0.00,0.00,0.0,0.0,0.00,0.00
16208000,0.00,0.00,0.0,0.0,0.00,0.00
16211000,0.00,0.00,0.0,0.0,0.00,0.00
16211600,0.00,0.00,0.0,0.0,0.00,0.00
16212601,0.00,0.00,0.0,0.0,0.00,0.00
16212800,0.00,0.00,0.0,0.0,0.00,0.00
16213000,0.00,0.00,0.0,0.0,0.00,0.00
16216000,3.00,4.60,8.0,7.5,2.00,3.06
16224500,0.00,0.00,0.0,0.0,0.00,0.00
16226000,0.00,0.00,0.0,0.0,0.00,0.00
16226200,0.00,0.00,0.0,0.0,0.00,0.00
16226400,0.00,0.00,0.0,0.0,0.00,0.00
16228000,0.00,0.00,0.0,0.0,0.00,0.00
16229000,0.00,0.00,0.0,0.0,0.00,0.00
16229300,0.00,0.00,0.0,0.0,0.00,0.00
16232000,1.00,11.52,511.4,34.4,1.00,11.52
16238500,0.00,0.00,0.0,0.0,0.00,0.00
16240500,0.00,0.00,0.0,0.0,0.00,0.00
16242500,0.00,0.00,0.0,0.0,0.00,0.00
16244000,0.00,0.00,0.0,0.0,0.00,0.00
16246000,0.00,0.00,0.0,0.0,0.00,0.00
16247000,0.00,0.00,0.0,0.0,0.00,0.00
16254000,0.00,0.00,0.0,0.0,0.00,0.00
16272200,1.00,10.09,559.8,32.3,1.00,10.09
16275000,0.00,0.00,0.0,0.0,0.00,0.00
16283200,0.00,0.00,0.0,0.0,0.00,0.00
16284000,0.00,0.00,0.0,0.0,0.00,0.00
16284200,0.00,0.00,0.0,0.0,0.00,0.00
16294100,0.00,0.00,0.0,0.0,0.00,0.00
16294900,0.00,0.00,0.0,0.0,0.00,0.00
16295300,0.00,0.00,0.0,0.0,0.00,0.00
