STAID,CANALS_PCT
15012000,ND
15019990,ND
15022000,ND
15026000,ND
15048000,ND
15050000,ND
15051010,ND
15052000,ND
15055500,ND
15056210,ND
15072000,ND
15081497,ND
15085100,ND
15087080,ND
15087690,ND
15088000,ND
15101490,ND
15106920,ND
15106980,ND
15108000,ND
15109000,ND
15129500,ND
15129600,ND
15200000,ND
15200280,ND
15202000,ND
15208000,ND
15215990,ND
15216000,ND
15226000,ND
15236900,ND
15237730,ND
15238600,ND
15238820,ND
15239000,ND
15239050,ND
15239060,ND
15241600,ND
15242000,ND
15248000,ND
15258000,ND
15261000,ND
15266110,ND
15266300,ND
15271000,ND
15272380,ND
15273045,ND
15274000,ND
15276000,ND
15282000,ND
15283700,ND
15284000,ND
15290000,ND
15291000,ND
15291200,ND
15292000,ND
15292700,ND
15294005,ND
15294300,ND
15296000,ND
15297200,ND
15297610,ND
15300250,ND
15300300,ND
15302000,ND
15302200,ND
15302250,ND
15477740,ND
15478040,ND
15484000,ND
15493000,ND
15511000,ND
15515060,ND
15515080,ND
15516000,ND
15518000,ND
15564879,ND
15564900,ND
15743850,ND
15747000,ND
15803000,ND
15820000,ND
15860000,ND
15861000,ND
15896000,ND
15904800,ND
15908000,ND
16010000,0.00
16013000,0.00
16019000,0.00
16031000,6.34
16036000,11.03
16049000,4.43
16060000,20.43
16063000,13.83
16068000,0.00
16071000,6.94
16071500,0.00
16080000,0.00
16089000,0.00
16097500,0.00
16103000,3.95
16108000,0.00
16200000,0.00
16208000,11.42
16211000,0.00
16211600,0.00
16212601,0.00
16212800,0.00
16213000,18.96
16216000,27.13
16224500,0.00
16226000,0.00
16226200,0.00
16226400,0.00
16228000,0.00
16229000,0.00
16229300,0.00
16232000,11.84
16238500,0.00
16240500,0.00
16242500,0.00
16244000,0.00
16246000,0.00
16247000,0.00
16254000,31.34
16272200,0.00
16275000,0.00
16283200,0.00
16284000,0.00
16284200,0.00
16294100,33.68
16294900,16.00
16295300,22.79
16296500,25.70
16303000,0.36
16304200,0.00
16325000,0.00
16330000,0.00
16345000,0.00
16400000,0.00
16404200,0.00
16405500,0.00
16408000,5.74
16414000,12.61
16414200,17.29
16415000,0.00
16415600,5.29
16419500,0.00
16501000,0.00
16501200,0.00
16508000,0.00
16518000,0.00
16521300,15.09
16545000,3.28
16570000,13.69
16585000,0.00
16587000,4.86
16604500,0.00
16614000,0.00
16618000,0.00
16620000,0.12
16638500,7.34
16681000,0.00
16682000,0.00
16700000,0.00
16704000,0.34
16717000,0.00
16720000,0.00
16720300,0.00
16725000,16.72
16756100,10.97
16757000,62.76
16758000,67.81
16759000,52.69
16759800,0.00
16764000,0.00
16770500,38.45
50010500,0.00
50014800,0.00
50021700,4.49
50024950,3.42
50025155,0.00
50026025,0.00
50026200,1.03
50027000,0.00
50028000,0.00
50028400,0.00
50029000,1.83
50031200,0.00
50034000,0.00
50035000,1.86
50038100,1.50
50038320,0.00
50039500,0.19
50043000,0.26
50043800,0.13
50044810,0.00
50045010,0.09
50046000,0.08
50047535,0.00
50047560,0.00
50047850,0.00
50048690,0.00
50048770,0.00
50049100,0.00
50050900,0.00
50051310,0.00
50051800,0.00
50053025,0.00
50055000,0.00
50055380,0.00
50055750,0.00
50056400,0.00
50057000,0.12
50058350,0.00
50059050,0.07
50059210,0.00
50061800,0.00
50063440,0.00
50063800,0.00
50064200,0.00
50065500,0.00
50067000,0.00
50070900,0.00
50071000,0.00
50075000,0.00
50076000,1.39
50081000,0.00
50085100,0.00
50090500,0.00
50092000,0.00
50093120,0.20
50100200,0.00
50100450,0.00
50106100,0.00
50108000,0.00
50110900,0.00
50111500,0.68
50112500,0.00
50113800,0.00
50114000,0.00
50114900,0.00
50115000,0.00
50115900,0.00
50124200,0.00
50126150,4.23
50131990,0.00
50136400,0.00
50138000,0.84
50141000,0.00
50144000,1.63
50145395,0.00
50147800,0.00
50148890,0.57
