STAID,DEVNLCD01,FORESTNLCD01,PLANTNLCD01,WATERNLCD01,SNOWICENLCD01,DEVOPENNLCD01,DEVLOWNLCD01,DEVMEDNLCD01,DEVHINLCD01,BARRENNLCD01,DECIDNLCD01,EVERGRNLCD01,MIXEDFORNLCD01,DWARFNLCD01,SHRUBNLCD01,GRASSNLCD01,SEDGENLCD01,MOSSNLCD01,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06
15012000,0.00,66.37,0.00,6.08,0.88,0.00,0.00,0.00,0.00,0.50,1.77,60.91,3.70,1.42,24.65,0.00,0.00,0.00,0.00,0.00,0.08,0.00
15019990,0.00,18.44,0.00,4.68,20.19,0.00,0.00,0.00,0.00,3.68,2.08,11.93,4.43,6.39,46.55,0.00,0.00,0.00,0.00,0.00,0.07,0.00
15022000,0.00,35.48,0.00,0.82,22.25,0.00,0.00,0.00,0.00,6.29,1.63,27.28,6.57,6.91,28.13,0.00,0.00,0.00,0.00,0.00,0.11,0.01
15026000,0.00,21.71,0.00,4.08,23.81,0.00,0.00,0.00,0.00,11.96,1.07,16.63,4.00,4.88,33.31,0.00,0.00,0.00,0.00,0.00,0.24,0.00
15048000,0.65,5.80,0.00,0.03,8.11,0.00,0.65,0.00,0.00,1.23,4.08,0.00,1.71,9.87,74.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15050000,0.19,13.43,0.00,0.00,17.88,0.00,0.19,0.00,0.00,3.96,2.14,7.78,3.52,8.70,55.80,0.00,0.00,0.00,0.00,0.00,0.05,0.00
15051010,0.00,34.47,0.00,2.48,9.79,0.00,0.00,0.00,0.00,3.75,2.08,25.94,6.45,7.65,41.76,0.00,0.00,0.00,0.00,0.00,0.10,0.00
15052000,0.00,3.54,0.00,0.39,60.51,0.00,0.00,0.00,0.00,12.71,0.30,2.55,0.69,4.07,18.76,0.00,0.00,0.00,0.00,0.00,0.00,0.02
15055500,0.00,11.02,0.00,4.54,33.63,0.00,0.00,0.00,0.00,22.97,0.88,8.00,2.14,5.06,22.67,0.00,0.00,0.00,0.00,0.00,0.12,0.00
15056210,0.04,21.16,0.00,0.43,34.87,0.00,0.04,0.00,0.00,18.58,0.90,16.21,4.04,3.04,19.12,0.00,0.00,0.00,0.00,0.00,0.04,0.00
15072000,0.00,61.51,0.00,10.17,0.92,0.00,0.00,0.00,0.00,0.91,1.32,49.47,10.73,3.58,22.31,0.00,0.00,0.00,0.00,0.00,0.61,0.00
15081497,0.32,76.81,0.00,0.14,0.00,0.00,0.32,0.00,0.00,0.01,2.51,56.11,18.19,0.14,20.90,0.00,0.00,0.00,0.00,0.00,1.68,0.00
15085100,0.00,91.68,0.00,3.33,0.19,0.00,0.00,0.00,0.00,0.06,0.05,85.21,6.42,0.26,3.96,0.00,0.00,0.00,0.00,0.00,0.51,0.00
15087080,0.00,75.26,0.00,1.57,0.00,0.00,0.00,0.00,0.00,0.25,2.15,51.23,21.88,1.25,19.31,0.00,0.00,0.00,0.00,0.00,2.38,0.00
15087690,0.00,69.09,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.59,1.83,64.44,2.82,3.03,25.98,0.00,0.00,0.00,0.00,0.00,0.17,0.00
15088000,0.13,23.44,0.00,5.46,25.34,0.00,0.13,0.00,0.00,6.77,0.86,19.26,3.33,6.76,32.07,0.00,0.00,0.00,0.00,0.00,0.04,0.00
15101490,0.02,43.01,0.00,0.03,2.58,0.00,0.02,0.00,0.00,0.27,0.27,40.59,2.15,2.82,51.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15106920,0.07,86.10,0.00,0.00,0.11,0.00,0.07,0.00,0.00,0.03,1.51,79.08,5.51,0.18,13.18,0.00,0.00,0.00,0.00,0.00,0.33,0.00
15106980,0.00,85.34,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,1.78,78.26,5.30,0.12,14.27,0.00,0.00,0.00,0.00,0.00,0.24,0.00
