STAID,PDEN_LANDSCAN_2007_DAY,PDEN_LANDSCAN_2007_NIGHT
15012000,0.00,0.00
15019990,0.00,0.00
15022000,0.00,0.00
15026000,0.00,0.00
15048000,0.00,0.36
15050000,0.00,0.56
15051010,1.30,3.37
15052000,0.23,0.00
15055500,0.00,0.00
15056210,0.00,0.02
15072000,0.00,0.00
15081497,0.00,0.00
15085100,0.00,0.00
15087080,0.00,0.00
15087690,0.15,0.00
15088000,0.00,0.00
15101490,0.00,0.00
15106920,0.00,0.00
15106980,0.00,0.00
15108000,0.00,0.00
15109000,0.09,0.00
15129500,0.00,0.00
15129600,1.84,3.25
15200000,0.00,0.01
15200280,0.00,0.00
15202000,0.05,0.05
15208000,0.28,0.00
15215990,0.00,0.00
15216000,0.00,0.00
15226000,0.00,0.00
15236900,0.00,0.00
15237730,0.00,0.00
15238600,0.00,0.00
15238820,0.00,0.45
15239000,0.00,0.00
15239050,0.00,0.00
15239060,0.00,0.00
15241600,1.27,0.34
15242000,0.00,0.09
15248000,0.03,0.14
15258000,0.10,0.19
15261000,0.00,0.00
15266110,0.06,0.12
15266300,0.29,0.74
15271000,0.00,0.02
15272380,0.00,0.00
15273045,6.56,52.76
15274000,0.13,1.27
15276000,0.00,0.00
15282000,0.00,0.00
15283700,0.00,0.65
15284000,0.63,0.58
15290000,0.00,0.00
15291000,0.00,0.00
15291200,0.00,0.00
15292000,0.00,0.00
15292700,0.00,0.00
15294005,0.19,0.23
15294300,0.00,0.00
15296000,0.00,0.00
15297200,0.00,0.00
15297610,0.00,0.00
15300250,0.00,0.00
15300300,0.01,0.01
15302000,0.00,0.00
15302200,0.00,0.00
15302250,0.00,0.00
15477740,0.00,0.00
15478040,0.00,0.00
15484000,0.00,0.01
15493000,0.00,0.00
15511000,0.00,0.02
15515060,0.00,0.00
15515080,0.00,0.00
15516000,0.00,0.00
15518000,0.05,0.04
15564879,0.00,0.00
15564900,0.00,0.00
15743850,0.14,0.00
15747000,0.00,0.00
15803000,0.06,0.01
15820000,0.00,0.00
15860000,0.00,0.00
15861000,0.00,0.00
15896000,0.00,0.00
15904800,0.00,0.00
15908000,0.00,0.00
16010000,0.00,0.00
16013000,0.00,0.00
16019000,0.00,0.00
