STAID,PADCAT1_PCT_BASIN,PADCAT2_PCT_BASIN,PADCAT3_PCT_BASIN
15012000,0.00,100.00,0.00
15019990,0.00,99.74,0.00
15022000,0.00,99.95,0.00
15026000,0.00,100.00,0.00
15048000,0.00,23.78,0.00
15050000,0.00,25.07,0.00
15051010,0.00,70.63,0.00
15052000,0.00,89.41,0.00
15055500,0.00,100.00,0.00
15056210,0.00,44.63,0.01
15072000,1.12,95.82,0.00
15081497,0.00,99.65,0.00
15085100,94.92,4.56,0.00
15087080,0.00,99.99,0.00
15087690,0.00,89.52,0.00
15088000,0.00,89.86,0.18
15101490,0.00,38.56,0.00
15106920,0.00,99.46,0.00
15106980,0.00,99.61,0.00
15108000,0.00,99.74,0.00
15109000,0.00,93.12,0.00
15129500,47.53,51.89,0.00
15129600,0.00,100.00,0.00
15200000,0.00,77.15,0.00
15200280,0.00,28.59,0.00
15202000,0.03,63.86,14.76
15208000,0.00,46.48,0.00
15215990,0.00,90.23,0.00
15216000,0.00,100.00,0.00
15226000,0.00,65.19,0.00
15236900,89.08,10.48,0.00
15237730,0.00,89.17,0.00
15238600,29.99,65.27,0.00
15238820,0.00,54.57,0.00
15239000,61.02,38.88,0.00
15239050,89.25,10.38,0.00
15239060,68.71,30.92,0.00
15241600,2.67,64.36,0.00
15242000,96.06,1.86,0.00
15248000,0.12,95.67,0.10
15258000,3.03,92.09,0.05
15261000,0.00,99.36,0.00
15266110,37.95,58.40,0.11
15266300,53.89,39.02,0.12
15271000,0.00,98.15,1.42
15272380,0.05,99.85,0.00
15273045,0.00,34.56,0.00
15274000,0.00,97.12,0.00
15276000,0.00,79.40,0.00
15282000,0.00,8.38,76.20
15283700,0.00,95.08,0.00
15284000,0.03,60.72,26.28
15290000,0.00,66.08,8.67
15291000,0.00,9.18,0.00
15291200,0.00,41.90,0.00
15292000,0.00,17.44,33.02
15292700,0.00,57.66,33.80
15294005,0.00,81.90,0.00
15294300,0.35,95.53,0.00
15296000,99.99,0.00,0.00
15297200,0.00,41.82,0.00
15297610,61.25,38.63,0.00
15300250,0.00,91.40,0.00
15300300,7.18,21.74,0.00
15302000,4.66,95.19,0.00
15302200,0.00,100.00,0.00
15302250,0.00,100.00,0.00
15477740,1.06,86.20,0.00
15478040,0.00,100.00,0.00
15484000,0.60,71.43,9.03
15493000,0.00,93.81,0.00
15511000,0.00,79.16,12.24
15515060,0.00,100.00,0.00
15515080,0.00,100.00,0.00
15516000,0.00,35.67,0.00
15518000,14.14,43.53,0.00
15564879,0.00,9.26,35.20
15564900,42.09,27.27,6.29
15743850,0.00,0.00,0.00
15747000,1.32,66.50,0.00
15803000,0.00,2.63,97.35
15820000,0.00,0.00,100.00
15860000,0.00,0.00,100.00
15861000,0.00,0.00,100.00
15896000,3.45,81.72,5.98
15904800,0.00,0.00,100.00
15908000,64.84,7.31,21.69
16010000,0.00,66.44,30.95
16013000,0.00,99.54,0.02
16019000,0.00,100.00,0.00
16031000,0.00,37.51,59.73
16036000,0.00,64.58,0.06
16049000,0.00,82.72,0.00
16060000,0.00,68.19,21.87
16063000,0.00,0.48,99.52
16068000,0.00,0.13,99.55
16071000,0.00,4.67,93.12
16071500,0.00,0.00,100.00
16080000,0.00,7.89,85.49
16089000,0.00,8.10,91.21
16097500,0.00,80.45,1.56
16103000,0.00,0.25,98.16
16108000,0.00,99.92,0.06
16200000,0.00,0.00,100.00
16208000,0.00,0.00,99.28
16211000,0.00,0.00,99.45
16211600,0.00,96.66,3.06
16212601,0.00,21.60,43.19
16212800,0.00,3.01,84.12
16213000,0.00,10.26,31.73
16216000,0.00,45.55,9.59
16224500,0.00,66.55,1.47
16226000,0.00,91.84,1.59
16226200,0.00,86.26,4.20
16226400,0.00,76.26,9.05
16228000,0.00,0.86,0.64
16229000,0.00,0.16,91.96
16229300,0.00,6.03,58.73
16232000,0.00,0.06,94.57
16238500,0.00,6.97,81.13
16240500,0.00,0.00,89.04
16242500,0.00,12.79,51.49
16244000,0.00,0.82,75.70
16246000,0.00,1.79,75.70
16247000,0.00,3.35,52.93
16254000,0.00,0.86,50.92
16272200,0.00,25.14,4.34
16275000,0.00,1.62,92.12
16283200,0.00,0.00,58.31
16284000,0.00,1.27,97.43
16284200,0.00,2.26,96.45
16294100,0.00,25.58,49.35
16294900,0.00,5.69,15.10
16295300,0.00,62.75,2.54
16296500,0.00,0.01,99.12
16303000,0.00,95.43,3.19
16304200,0.00,1.01,94.65
16325000,0.00,0.06,98.70
16330000,0.00,0.05,78.01
16345000,0.00,0.00,99.33
16400000,0.00,0.00,14.03
16404200,0.00,99.40,0.00
16405500,0.00,49.09,26.17
16408000,0.00,34.71,50.12
16414000,0.00,27.86,38.08
16414200,0.00,25.22,34.53
16415000,0.00,0.47,0.00
16415600,0.00,64.04,0.00
16419500,0.00,0.00,3.08
16501000,0.00,99.97,0.03
16501200,0.00,99.88,0.00
16508000,0.00,96.78,2.87
16518000,0.00,9.90,68.20
16521300,0.00,9.29,76.83
16545000,0.00,48.78,50.02
16570000,0.00,29.36,59.38
16585000,0.00,15.84,84.16
16587000,0.00,37.29,62.71
16604500,0.00,97.08,2.32
16614000,0.00,99.25,0.59
16618000,0.00,98.86,0.00
16620000,0.00,99.93,0.00
16638500,0.00,83.87,0.28
16681000,0.00,100.00,0.00
16682000,0.00,100.00,0.00
16700000,0.00,11.32,72.65
16704000,0.00,42.36,53.90
16717000,0.00,60.12,2.33
16720000,0.00,100.00,0.00
16720300,0.00,95.07,4.93
16725000,0.00,63.77,36.23
16756100,0.00,75.01,24.99
16757000,0.00,0.46,97.88
16758000,0.00,9.93,83.20
16759000,0.00,4.13,91.89
16759800,0.00,0.00,0.00
16764000,0.00,34.01,62.26
16770500,0.00,1.26,1.01
50010500,ND,ND,ND
50014800,ND,ND,ND
50021700,ND,ND,ND
50024950,ND,ND,ND
50025155,ND,ND,ND
50026025,ND,ND,ND
50026200,ND,ND,ND
50027000,ND,ND,ND
50028000,ND,ND,ND
50028400,ND,ND,ND
50029000,ND,ND,ND
50031200,ND,ND,ND
50034000,ND,ND,ND
50035000,ND,ND,ND
50038100,ND,ND,ND
50038320,ND,ND,ND
50039500,ND,ND,ND
50043000,ND,ND,ND
50043800,ND,ND,ND
50044810,ND,ND,ND
50045010,ND,ND,ND
50046000,ND,ND,ND
50047535,ND,ND,ND
50047560,ND,ND,ND
50047850,ND,ND,ND
50048690,ND,ND,ND
50048770,ND,ND,ND
50049100,ND,ND,ND
50050900,ND,ND,ND
50051310,ND,ND,ND
50051800,ND,ND,ND
50053025,ND,ND,ND
50055000,ND,ND,ND
50055380,ND,ND,ND
50055750,ND,ND,ND
50056400,ND,ND,ND
50057000,ND,ND,ND
50058350,ND,ND,ND
50059050,ND,ND,ND
50059210,ND,ND,ND
50061800,ND,ND,ND
50063440,ND,ND,ND
50063800,ND,ND,ND
50064200,ND,ND,ND
50065500,ND,ND,ND
50067000,ND,ND,ND
50070900,ND,ND,ND
50071000,ND,ND,ND
50075000,ND,ND,ND
50076000,ND,ND,ND
50081000,ND,ND,ND
50085100,ND,ND,ND
50090500,ND,ND,ND
50092000,ND,ND,ND
50093120,ND,ND,ND
50100200,ND,ND,ND
50100450,ND,ND,ND
