USGS Basin,fire_year,fraction_catchment
10251350,2005,0.002664218
10251350,2005,0.00596281
10253320,2006,0.002905079
10253320,1973,0.342711303
10253320,2006,0.011051465
10253320,1982,0.000395313
10253320,1984,0.000519654
10253320,1984,0.055554345
10253320,1984,0.004217452
10253320,1985,0.001551063
10253320,1967,0.001194778
10253320,1968,0.00375571
10253320,1978,0.111664884
10253320,1979,0.00987058
10253320,1987,0.002672324
10253320,1987,0.017398105
10253320,1995,0.072322892
10253320,1980,0.001098036
10253320,1982,0.000207593
10253320,1995,0.001299924
10253320,1999,0.000475759
10253320,1999,0.007922621
10253320,1999,0.18213275
10253320,2009,0.000670205
10253320,2010,0.001506801
10253320,2012,0.00404482
10255700,2007,0.013182908
10255700,2007,0.001507734
10255700,1916,0.002537765
10255700,2005,0.000970516
10255700,1945,0.000434237
10255700,1949,5.99E-07
10255700,1964,0.005441013
10255700,1935,0.003032371
10255700,1938,0.024910621
10255700,1936,0.000465787
10255700,1941,0.002742616
10255700,1941,0.000578777
10255700,1941,0.020008821
10255700,1944,0.000531806
10255700,1942,0.142949372
10255700,1942,0.002409913
10255700,1953,0.00193399
10255700,1919,0.001395822
10255700,1999,0.002172138
10255700,1999,0.000111966
10255700,1949,0.05671811
10255700,1986,0.000878878
10255700,1994,0.000158418
10255700,1994,0.002791817
10255700,1979,0.001766914
10255700,1944,0.00156944
10255700,1944,0.000662085
10255700,1944,0.003052461
10255700,1944,0.00385027
10255700,1939,0.003429824
10255700,1943,0.123928421
10255700,1944,0.000403828
10255700,1957,8.79E-07
10255700,1999,0.007923295
10255700,1950,0.025438896
10255700,1954,0.001002245
10255700,2002,0.003871188
10255700,1990,0.001265451
10255700,2004,0.006254319
10255700,2002,0.353840132
10255700,2006,0.00427349
10255700,2004,0.000215369
10255700,2003,0.027930766
10255700,2010,0.002809751
10255700,2010,0.000790376
10255700,2011,0.032484994
10255700,2012,0.070900529
10255700,2012,0.000578969
10255700,2012,4.81E-05
10255700,2012,0.0719412
10255700,2013,0.044059495
10255700,2013,0.000822407
10255700,2013,3.87E-06
10255700,2014,0.00281712
10255800,2005,0.001027552
10255800,1944,0.285195616
10255800,1941,0.007903455
10255800,1941,0.003595377
10255800,1996,0.014237465
10255800,1928,0.006611054
10255800,1911,0.009786753
10255800,1949,0.003656293
10255800,1951,0.002548634
10255800,1900,0.007814846
10255800,1940,0.038527862
10255800,1980,0.019570002
10255800,1939,0.000504545
10255800,1964,0.020304191
10255800,1980,0.027930568
10255800,1976,0.007101969
10255800,1956,0.012057699
